【Excel文件】COVID-19全球数据集（节选）.xlsx
工作表数量：1
============================================================

📊 工作表 1: Data
行数: 15088, 列数: 15
----------------------------------------
                        国家/地区             大洲     纬度      经度  年平均温度  每千人医院床位数  每千人医生数    人均GDP          人口  年龄中位数  65岁及以上人口占比         日期      每日检测数         病例数       死亡数
204                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-16      824.0     11816.0     343.0
205                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-17      817.0     11948.0     347.0
206                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-18      833.0     12073.0     353.0
207                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-19      836.0     12226.0     358.0
208                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-20      844.0     12385.0     362.0
209                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-21      809.0     12535.0     364.0
210                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-22      825.0     12666.0     367.0
211                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-23      887.0     12787.0     370.0
212                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-24      852.0     12921.0     370.0
213                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-25      808.0     13045.0     373.0
214                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-26      811.0     13153.0     375.0
215                   Albania         Europe  41.15   20.17     14      2.89    1.29   5353.2     2873457     38          14 2020-09-27      832.0     13259.0     377.0
